no,name_of_member,state,party,term_start,term_end,vacation_date_reason,vacation_date,vacation_reason,party_normalized
2,Oberoi Shri Mohan Singh,Uttar Pradesh,BKD,1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,BHARATIYA KRANTI DAL
5,Oza Shri Ghanshyambhai,Gujarat,JAN,1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,""
5,Pai Shri T.A.,Karnataka,Congress,1972-04-10,1978-04-09,21/03/1977 Elected to Lok Sabha,1977-03-21,ElectedtoLokSabha,""
13,Panda Shri Brahmananda,Odisha,Congress,1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,""
17,Pande Shri Bishambhar Nath,Uttar Pradesh,CONG(I),1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
34,Pant Shri K.C.,Uttar Pradesh,CONG(I),1978-04-03,1984-04-02,Retirement,1984-04-02,Retirement,""
37,Papireddi Shri Bezawada,Andhra Pradesh,JAN,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
41,Parashar Shri Vinaykumar Ramlal,Maharashtra,Congress,1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,""
42,Parbhu Singh Shri,Haryana,JAN,1974-08-02,1980-08-01,Retirement,1980-08-01,Retirement,""
45,Parikh Prof. Ramlal,Gujarat,JAN,1975-08-14,1981-08-13,Retirement,1981-08-13,Retirement,""
61,Patel Shri D.K.,Gujarat,JS,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,JANA SANGH
62,Patel Shri Dahyabhai V.,Bombay,O,1970-04-03,1976-04-02,11/08/1973 Death,1973-08-11,Death,""
68,Patel Shri Manubhai,Gujarat,JD,1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,JANATA DAL
77,Pathak Shri Ananda,West Bengal,CPI(M),1977-07-13,1978-04-02,Retirement,1978-04-02,Retirement,COMMUNIST PARTY OF INDIA (MARXIST)
77,Pathak Shri Ananda,West Bengal,CPI(M),1978-04-03,1984-04-02,09/01/1980 Retirement,1984-04-02,Retirement,COMMUNIST PARTY OF INDIA (MARXIST)
82,Patil Shri Deorao,Maharashtra,CONG(I),1974-04-03,1980-04-02,22/10/1978 Death,1978-10-22,Death,""
85,Patil Shri Gulabrao,Maharashtra,CONG(I),1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,""
94,Patil Shri Veerendra,Karnataka,JAN,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
98,Patnaik Shri Biju,Odisha,JD,1971-05-13,1971-10-06,06/10/1971 Resignation,1971-10-06,Resignation,JANATA DAL
104,Pattanayak Shri Bhabani Charan,Odisha,CONG(I),1978-04-03,1984-04-02,Retirement,1984-04-02,Retirement,""
107,Pawar Shri D.Y.,Bombay,CONG(I),1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,""
121,Poddar Shri Rajendra Kumar,Bihar,IND.,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,INDEPENDENT
129,Pradhan Shri Patitpaban,Odisha,LD,1977-07-13,1982-04-02,Retirement,1982-04-02,Retirement,LOK DAL
131,Pradhan Smt. Saraswati,Odisha,CONG(I),1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,""
138,Prasad Shri K.L.N.,Andhra Pradesh,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
138,Prasad Shri K.L.N.,Andhra Pradesh,Congress,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
144,Prem Manohar Shri,Uttar Pradesh,JAN,1977-07-14,1980-04-02,Retirement,1980-04-02,Retirement,""
150,Punnaiah Shri Kota,Andhra Pradesh,Congress,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
152,Puri Shri D.D.,Haryana,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
1,Qasim Shri Syyed Mir,Jammu & Kashmir,Congress,1975-07-29,1978-11-10,Retirement,1978-11-10,Retirement,""
1,Rachaiah Shri B.,Karnataka,Congress,1974-04-03,1980-04-02,21/03/1977 Elected to Lok Sabha,1977-03-21,ElectedtoLokSabha,""
8,Raha Shri Sanat Kumar,West Bengal,CPI,1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,COMMUNIST PARTY OF INDIA
12,Rahmathulla Shri Mohammad,Andhra Pradesh,CONG(I),1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
13,Rai Shri Kalp Nath,Uttar Pradesh,Congress,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,""
29,Rajan Shri Pattiam,Kerala,CPI(M),1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,COMMUNIST PARTY OF INDIA (MARXIST)
31,Rajasekharam Shri Palavalasa,Andhra Pradesh,CONG(I),1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
36,Rajendran Shri Sedapatti Suryanarayana Thevar,Tamil Nadu,DMK,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,DRAVIDA MUNNETRA KAZHAGAM
37,Rajinder Kaur Dr.(Smt.),Punjab,SAD,1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,SHIROMANI AKALI DAL
39,Rajnarain Shri,Uttar Pradesh,BLD,1974-04-03,1980-04-02,21/03/1977 Elected to Lok Sabha,1977-03-21,ElectedtoLokSabha,BHARATIYA LOK DAL
42,Raju Shri V. B.,Andhra Pradesh,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
42,Raju Shri V. B.,Andhra Pradesh,Congress,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
57,Ramamurti Shri P.,Tamil Nadu,CPI(M),1977-07-25,1983-07-24,Retirement,1983-07-24,Retirement,COMMUNIST PARTY OF INDIA (MARXIST)
67,Rameshwar Singh Shri,Uttar Pradesh,LD,1978-04-03,1984-04-02,Retirement,1984-04-02,Retirement,LOK DAL
72,Ranbir Singh Shri,Haryana,Congress,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
73,Ranga Shri N. G.,Andhra Pradesh,CONG(I),1977-07-18,1980-04-02,08/01/1980 Elected to Lok Sabha,1980-01-08,ElectedtoLokSabha,""
74,Ranganathan Shri S.,Tamil Nadu,IND.,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,INDEPENDENT
94,Rao Shri Katragadda Srinivasa,Andhra Pradesh,IND.,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,INDEPENDENT
100,Rao Smt. Rathnabai Sreenivasa,Andhra Pradesh,JAN,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
103,Rao Shri V. C. Kesava,Andhra Pradesh,Congress,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,""
112,Ratan Kumari Smt.,Madhya Pradesh,Congress,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
128,Ray Shri Rabi,Odisha,LD,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,LOK DAL
132,Razack Smt. Noorjehan,Tamil Nadu,AIADMK,1977-07-25,1983-07-24,Retirement,1983-07-24,Retirement,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
137,Reddi Shri K. Brahamananda,Andhra Pradesh,Congress,1974-04-03,1980-04-02,20/03/1977 Elected to Lok Sabha,1977-03-20,ElectedtoLokSabha,""
140,Reddy Shri B. Satyanarayan,Andhra Pradesh,JAN,1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,""
147,Reddy Shri Gaddam Narayana,Andhra Pradesh,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
149,Reddy Shri K. V. Raghunatha,Andhra Pradesh,Congress,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,""
156,Reddy Shri Mulka Govinda,Karnataka,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
156,Reddy Shri Mulka Govinda,Karnataka,CONG(I),1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
157,Reddy Dr. N. Janardhana,Andhra Pradesh,Congress,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
165,Reddy Shri R. Narasimha,Andhra Pradesh,Congress,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,""
175,Refaye Shri A. K.,Tamil Nadu,ML,1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,MUSLIM LEAGUE
182,Roshan Lal Shri,Himachal Pradesh,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
182,Roshan Lal Shri,Himachal Pradesh,Congress,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
183,Routray Shri Nilamoni,Odisha,JAN,1976-04-03,1982-04-02,26/06/1977 Resignation,1977-06-26,Resignation,""
188,Roy Shri Kalyan,West Bengal,CPI,1975-07-10,1981-07-09,Retirement,1981-07-09,Retirement,COMMUNIST PARTY OF INDIA
5,Saha Shri Surajmal,Odisha,O,1970-04-03,1976-04-02,13/09/1971 Death,1971-09-13,Death,""
7,Sahay Shri Dayanand,Bihar,JD,1978-10-04,1984-09-04,Retirement,1984-09-04,Retirement,JANATA DAL
12,Sahu Shri Santosh Kumar,Odisha,Congress,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
20,Sakhalecha Shri Virendra Kumar,Madhya Pradesh,JS,1972-04-10,1978-04-09,26/06/1977 Resignation,1977-06-26,Resignation,JANA SANGH
25,Saleem Shri Mohammad Yunus,Andhra Pradesh,Congress,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,""
30,Salve Shri N.K.P.,Maharashtra,CONG(I),1978-04-03,1984-04-02,Retirement,1984-04-02,Retirement,""
38,Samy Shri V.P.M.,Puducherry,AIADMK,1977-07-28,1983-07-27,Retirement,1983-07-27,Retirement,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
43,Sangma Shri Emonsing M.,Assam,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
46,Sanjivayya Shri D.,Andhra Pradesh,Congress,1970-04-03,1976-04-02,07/05/1972 Death,1972-05-07,Death,""
51,Sanyal Shri Sasankasekhar,West Bengal,CPI(M),1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,COMMUNIST PARTY OF INDIA (MARXIST)
58,Sardesai Shri Sriniwas Ganesh,Maharashtra,CPI,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,COMMUNIST PARTY OF INDIA
59,Saring Shri Leonard Soloman,Sikkim,Congress,1975-10-20,1981-10-19,Retirement,1981-10-19,Retirement,""
63,Sarup Singh Dr.,Haryana,LD,1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,LOK DAL
66,Satchidananda Shri,Karnataka,CONG(I),1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,""
72,Satyanarayana Shri Venigalla,Andhra Pradesh,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
72,Satyanarayana Shri Venigalla,Andhra Pradesh,Congress,1976-04-03,1982-04-02,20/10/1980 Death,1980-10-20,Death,""
74,Savita Behen Smt.,National Capital Territory of Delhi,Congress,1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,""
78,Schamnad Shri Hamid Ali,Kerala,ML,1970-02-05,1973-04-21,Retirement,1973-04-21,Retirement,MUSLIM LEAGUE
78,Schamnad Shri Hamid Ali,Kerala,ML,1973-04-22,1979-04-21,Retirement,1979-04-21,Retirement,MUSLIM LEAGUE
79,Scindia Smt. Vijaya Raje,Madhya Pradesh,JD,1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,JANATA DAL
80,Sebastian Shri K.C.,Kerala,Congress,1979-04-22,1985-04-21,Retirement,1985-04-21,Retirement,""
97,Sen Gupta Shri Dwijendralal,West Bengal,IND.,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,INDEPENDENT
102,Sethi Shri P.C.,Madhya Pradesh,CONG(I),1976-04-03,1982-04-02,07/01/1980 Elected to Lok Sabha,1980-01-07,ElectedtoLokSabha,""
103,Seyid Muhammad Dr. V.A.,Kerala,Congress,1973-04-22,1979-04-21,21/03/1977 Elected to Lok Sabha,1977-03-21,ElectedtoLokSabha,""
104,Seziyan Shri Era,Tamil Nadu,JAN,1978-04-03,1984-04-02,Retirement,1984-04-02,Retirement,""
111,Shah Shri Manubhai,Gujarat,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
113,Shah Shri Viren J.,Gujarat,IND.,1975-08-14,1981-08-13,Retirement,1981-08-13,Retirement,INDEPENDENT
114,Shahabuddin Shri Syed,Bihar,JAN,1979-07-25,1984-04-09,Retirement,1984-04-09,Retirement,""
115,Shahedullah Shri Syed,West Bengal,CPI(M),1978-04-03,1984-04-02,Retirement,1984-04-02,Retirement,COMMUNIST PARTY OF INDIA (MARXIST)
116,Shahi Shri Nageshwar Prasad,Uttar Pradesh,Socialist,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
116,Shahi Shri Nageshwar Prasad,Uttar Pradesh,JAN,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
119,Shanti Bhushan Shri,Uttar Pradesh,JAN,1977-07-14,1980-04-02,Retirement,1980-04-02,Retirement,""
124,Sharma Shri Ajit Kumar,Assam,JAN,1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,""
125,Sharma Shri Anant Prasad,Bihar,CONG(I),1978-04-10,1984-04-09,19/02/1983 Resignation,1983-02-19,Resignation,""
132,Sharma Shri Kishan Lal,Rajasthan,CONG(I),1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,""
143,Sharma Shri Yogendra,Bihar,CPI,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,COMMUNIST PARTY OF INDIA
143,Sharma Shri Yogendra,Bihar,CPI,1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,COMMUNIST PARTY OF INDIA
146,Shastri Shri Bhola Paswan,Bihar,Congress,1972-05-31,1976-04-02,Retirement,1976-04-02,Retirement,""
146,Shastri Shri Bhola Paswan,Bihar,Congress,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
147,Shastri Shri Brahmdeo Ram,Bihar,JAN,1979-07-25,1980-04-02,Retirement,1980-04-02,Retirement,""
149,Shastri Shri Prakash Veer,Uttar Pradesh,JS,1974-04-03,1980-04-02,23/11/1977 Death,1977-11-23,Death,JANA SANGH
153,Sheikh Shri Abdul Rehman,Uttar Pradesh,JAN,1978-04-03,1984-04-02,Retirement,1984-04-02,Retirement,""
154,Sheikh Shri Ghouse Mohiuddin,Andhra Pradesh,CONG(I),1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,""
156,Shekhawat Shri Bhairon Singh,Madhya Pradesh,JS,1974-04-03,1980-04-02,05/12/1977 Resignation,1977-12-05,Resignation,JANA SANGH
157,Sherkhan Shri M.,Mysore,Congress,1970-03-30,1972-04-02,Retirement,1972-04-02,Retirement,""
160,Shilla Shri Showaless K.,Meghalaya,Congress,1972-04-13,1978-04-12,Retirement,1978-04-12,Retirement,""
163,Shishir Kumar Shri,Bihar,PSP,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,PRAJA SOCIALIST PARTY
167,Shukla Shri Chakrapani,Madhya Pradesh,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
170,Shukla Shri Mahavir Prasad,Uttar Pradesh,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
174,Shyamkumari Devi Smt.,Madhya Pradesh,Congress,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,""
176,Siddhu Dr. M.M.S.,Uttar Pradesh,JAN,1977-07-18,1978-04-02,Retirement,1978-04-02,Retirement,""
176,Siddhu Dr. M.M.S.,Uttar Pradesh,JAN,1978-04-03,1984-04-02,Retirement,1984-04-02,Retirement,""
188,Singh Shri Bhanu Pratap,Uttar Pradesh,BLD,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,BHARATIYA LOK DAL
189,Singh Shri Bhishma Narain,Bihar,Congress,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
191,Singh Shri Bindeshwari Prasad,Bihar,Congress,1971-06-17,1974-04-02,Retirement,1974-04-02,Retirement,""
196,Singh Shri D.P.,Bihar,Congress,1971-06-17,1972-04-02,Retirement,1972-04-02,Retirement,""
196,Singh Shri D.P.,Bihar,Congress,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
204,Singh Shri Irengbam Tompok,Manipur,Congress,1974-06-18,1978-04-09,Retirement,1978-04-09,Retirement,""
207,Singh Shri J.K.P.N.,Bihar,CONG(I),1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,""
209,Singh Smt. Jahanara Jaipal,Bihar,Congress,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
216,Singh Shri Kameshwar,Bihar,Congress,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,""
220,Singh Shri Mahendra Bahadur,Madhya Pradesh,Congress,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
224,Singh Shri Mohan,Punjab,INC,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
227,Singh Shri Ng. Tompok,Manipur and Tripura,JAN,1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,""
228,Singh Smt. Pratibha,Bihar,Congress,1970-12-31,1976-04-02,Retirement,1976-04-02,Retirement,""
228,Singh Smt. Pratibha,Bihar,Congress,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
240,Singh Shri Shiv Swaroop,Uttar Pradesh,Congress,1970-12-31,1972-04-02,Retirement,1972-04-02,Retirement,""
241,Singh Shri Shiva Nandan,Uttar Pradesh,JAN,1978-03-20,1980-04-02,Retirement,1980-04-02,Retirement,""
247,Singh Shri Tribhuvan Narayan,Uttar Pradesh,CONG(O),1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
249,Singh Dr. V.B.,Uttar Pradesh,Congress,1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,""
260,Sinha Shri Awadeshwar Prasad,Bihar,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
264,Sinha Shri Indradeep,Bihar,CPI,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,COMMUNIST PARTY OF INDIA
272,Sinha Dr. Ramkripal,Bihar,JS,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,JANA SANGH
277,Sisodia Shri Sawai Singh,Madhya Pradesh,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
277,Sisodia Shri Sawai Singh,Madhya Pradesh,Congress,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
278,Sita Devi Smt.,Punjab,Congress,1972-04-10,1978-04-09,22/03/1974 Death,1974-03-22,Death,""
279,Sitaram Singh Shri,Bihar,BLD,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,BHARATIYA LOK DAL
297,Srinivasan Shri T.K.,Tamil Nadu,DMK,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,DRAVIDA MUNNETRA KAZHAGAM
305,Sujan Singh Shri,Haryana,JAN,1977-07-13,1978-04-09,Retirement,1978-04-09,Retirement,""
305,Sujan Singh Shri,Haryana,JAN,1978-04-10,1984-04-09,31/12/1982 Resignation,1982-12-31,Resignation,""
308,Sukhdev Prasad Shri,Uttar Pradesh,Congress,1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,""
311,Sultan Maimoona Smt.,Madhya Pradesh,Congress,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,""
312,Sultan Singh Shri,Haryana,Congress,1970-03-31,1974-08-01,Retirement,1974-08-01,Retirement,""
312,Sultan Singh Shri,Haryana,Congress,1974-08-02,1980-08-01,Retirement,1980-08-01,Retirement,""
321,Surendra Mohan Shri,Uttar Pradesh,JAN,1978-04-03,1984-04-02,Retirement,1984-04-02,Retirement,""
324,Surjeet Shri Harkishan Singh,Punjab,CPI(M),1978-04-10,1984-04-09,Retirement,1984-04-09,Retirement,COMMUNIST PARTY OF INDIA (MARXIST)
331,Swaminathan Shri V.V.,Tamil Nadu,AIADMK,1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
331,Swaminathan Shri V.V.,Tamil Nadu,AIADMK,1978-04-03,1984-04-02,19/06/1980 Resignation,1980-06-19,Resignation,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
337,Swu Shri Scato,Nominated,NOM.,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,NOMINATED
4,Talib Shri Niranjan Singh,Punjab,Congress,1974-07-16,1978-04-09,28/05/1976 Death,1976-05-28,Death,""
7,Tama Shri Ratan,Arunachal Pradesh,CONG(I),1978-05-27,1984-05-26,Retirement,1984-05-26,Retirement,""
11,Tanvir Shri Habib,Nominated,NOM.,1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,NOMINATED
25,Thakur Shri Gunanand,Bihar,Congress,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
39,Thengari Shri Dattopant Bapurao,Uttar Pradesh,JS,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,JANA SANGH
46,Tilak Shri J.S.,Maharashtra,Congress,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,""
53,Tiwari Shri Shankarlal,Madhya Pradesh,Congress,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
56,Tiwary Pandit Bhawani Prasad,Madhya Pradesh,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
57,Tohra Sardar Gurcharan Singh,Punjab,SAD,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,SHIROMANI AKALI DAL
58,Tombi Shri Salam,Manipur,MPP,1972-04-10,1978-04-09,04/04/1974 Resignation,1974-04-04,Resignation,""
62,Totu Shri Gian Chand,Himachal Pradesh,CONG(I),1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,""
63,Triloki Singh Shri,Uttar Pradesh,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
63,Triloki Singh Shri,Uttar Pradesh,Congress,1976-04-03,1982-04-02,29/01/1980 Death,1980-01-29,Death,""
67,Tripathi Shri Kamlapati,Uttar Pradesh,Congress,1973-12-11,1978-04-02,Retirement,1978-04-02,Retirement,""
67,Tripathi Shri Kamlapati,Uttar Pradesh,CONG(I),1978-04-03,1984-04-02,08/01/1980 Elected to Lok Sabha,1980-01-08,ElectedtoLokSabha,""
68,Trivedi Shri H.M.,Gujarat,JAN,1972-04-10,1978-04-09,Retirement,1978-04-09,Retirement,""
73,Tyagi Shri Mahavir,Uttar Pradesh,CONG(O),1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
74,Tyagi Shri Omprakash,Uttar Pradesh,JS,1972-04-03,1978-04-02,21/03/1977 Elected to Lok Sabha,1977-03-21,ElectedtoLokSabha,JANA SANGH
6,Vaishampayen Shri S.K.,Maharashtra,IND.,1976-04-03,1982-04-02,24/08/1981 Death,1981-08-24,Death,INDEPENDENT
15,Varma Shri Bhagwati Charan,Nominated,NOM.,1978-04-14,1984-04-13,05/10/1981 Death,1981-10-05,Death,NOMINATED
17,Varma Shri Mahadeo Prasad,Uttar Pradesh,JAN,1974-04-03,1980-04-02,Retirement,1980-04-02,Retirement,""
19,Varma Smt. Narayani Devi,Rajasthan,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
24,Vasavada Shri Shamprasad Rupshanker,Gujarat,CONG(O),1970-04-03,1976-04-02,20/11/1972 Death,1972-11-20,Death,""
30,Venka Shri V.,Tamil Nadu,DMK,1978-04-03,1984-04-02,Retirement,1984-04-02,Retirement,DRAVIDA MUNNETRA KAZHAGAM
38,Venkatrao Shri Chadalavada,Andhra Pradesh,CONG(I),1978-04-10,1984-04-09,05/01/1981 Death,1981-01-05,Death,""
43,Verma Shri Shrikant,Madhya Pradesh,Congress,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
50,Vijay Bhushan Shri Deosharan,Madhya Pradesh,JS,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,JANA SANGH
63,Vyas Dr. M.R.,Maharashtra,Congress,1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,""
3,Wajd Shri Sikander Ali,Maharashtra,Congress,1972-04-03,1978-04-02,Retirement,1978-04-02,Retirement,""
6,Warjri Shri Alexander,Meghalaya,IND.,1978-04-13,1984-04-12,Retirement,1984-04-12,Retirement,INDEPENDENT
12,Yadav Shri Ramanand,Bihar,Congress,1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
15,Yadav Shri Shyam Lal,Uttar Pradesh,Congress,1970-04-03,1976-04-02,Retirement,1976-04-02,Retirement,""
15,Yadav Shri Shyam Lal,Uttar Pradesh,CONG(I),1976-04-03,1982-04-02,Retirement,1982-04-02,Retirement,""
4,Zakaria Dr. Rafiq,Maharashtra,CONG(I),1978-04-03,1984-04-02,Retirement,1984-04-02,Retirement,""
6,Zawar Hussain Shri,Bihar,Congress,1975-12-20,1978-04-09,Retirement,1978-04-09,Retirement,""
2,Abdi Shri Hashim Raja Allahabadi,Uttar Pradesh,CONG(I),1982-04-03,1988-04-02,Retirement,1988-04-02,Retirement,INDIAN NATIONAL CONGRESS (I)
14,Abrar Ahmed Dr.,Rajasthan,CONG(I),1988-04-03,1994-04-02,Retirement,1994-04-02,Retirement,INDIAN NATIONAL CONGRESS (I)
23,Advani Shri Lal K.,Madhya Pradesh,BJP,1982-04-03,1988-04-02,Retirement,1988-04-02,Retirement,BHARATIYA JANTA PARTY
23,Advani Shri Lal K.,Madhya Pradesh,BJP,1988-04-03,1994-04-02,27/11/1989 Elected to Lok Sabha,1989-11-27,ElectedtoLokSabha,BHARATIYA JANTA PARTY
38,Ahluwalia Shri S.S.,Bihar,CONG(I),1986-07-07,1992-07-06,Retirement,1992-07-06,Retirement,INDIAN NATIONAL CONGRESS (I)
46,Ajit Singh Shri,Uttar Pradesh,JD,1986-07-05,1992-07-04,27/11/1989 Elected to Lok Sabha,1989-11-27,ElectedtoLokSabha,JANATA DAL
49,Akarte Shri Jagannath Sitaram,Maharashtra,CONG(I),1980-07-05,1986-07-04,Retirement,1986-07-04,Retirement,INDIAN NATIONAL CONGRESS (I)
53,Aladi Aruna Shri V. Arunachalam alias,Tamil Nadu,AIADMK,1983-07-25,1989-07-24,Retirement,1989-07-24,Retirement,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
59,Ali Shri Syed Rahmat,Andhra Pradesh,CONG(I),1980-04-03,1986-04-02,Retirement,1986-04-02,Retirement,INDIAN NATIONAL CONGRESS (I)
60,Alia Kumari,Uttar Pradesh,CONG(I),1989-10-11,1992-07-04,Retirement,1992-07-04,Retirement,INDIAN NATIONAL CONGRESS (I)
64,Alva Smt. Margaret,Karnataka,CONG(I),1980-04-03,1986-04-02,Retirement,1986-04-02,Retirement,INDIAN NATIONAL CONGRESS (I)
64,Alva Smt. Margaret,Karnataka,CONG(I),1986-04-03,1992-04-02,Retirement,1992-04-02,Retirement,INDIAN NATIONAL CONGRESS (I)
67,Amarjit Kaur Smt.,Punjab,CONG(I),1982-04-03,1988-04-02,Retirement,1988-04-02,Retirement,INDIAN NATIONAL CONGRESS (I)
72,Amin Shri Mohammed,West Bengal,CPI(M),1988-04-03,1994-04-02,Retirement,1994-04-02,Retirement,COMMUNIST PARTY OF INDIA (MARXIST)
74,Amla Shri Tirath Ram,Jammu & Kashmir,CONG(I),1985-12-12,1991-12-11,Retirement,1991-12-11,Retirement,INDIAN NATIONAL CONGRESS (I)
79,Amrita Pritam Smt.,Nominated,NOM.,1986-05-12,1992-05-11,Retirement,1992-05-11,Retirement,NOMINATED
